Age group and ages, Sex, Urban and rural areas, Macroregions  development regions and counties, Years, MU: Persons, Valoare
55-59 years, Total, Total, Giurgiu, Year 2020, Number of persons, 13424
55-59 years, Total, Total, Giurgiu, Year 2021, Number of persons, 13232
55-59 years, Total, Total, Giurgiu, Year 2022, Number of persons, 14077
55-59 years, Total, Total, Giurgiu, Year 2023, Number of persons, 16969
55-59 years, Total, Total, Giurgiu, Year 2024, Number of persons, 19812
55-59 years, Total, Total, Ialomita, Year 2013, Number of persons, 18871
55-59 years, Total, Total, Ialomita, Year 2014, Number of persons, 18723
55-59 years, Total, Total, Ialomita, Year 2015, Number of persons, 18061
55-59 years, Total, Total, Ialomita, Year 2016, Number of persons, 17122
55-59 years, Total, Total, Ialomita, Year 2017, Number of persons, 16053
55-59 years, Total, Total, Ialomita, Year 2018, Number of persons, 15023
55-59 years, Total, Total, Ialomita, Year 2019, Number of persons, 14220
55-59 years, Total, Total, Ialomita, Year 2020, Number of persons, 13431
55-59 years, Total, Total, Ialomita, Year 2021, Number of persons, 12886
55-59 years, Total, Total, Ialomita, Year 2022, Number of persons, 12986
55-59 years, Total, Total, Ialomita, Year 2023, Number of persons, 15213
55-59 years, Total, Total, Ialomita, Year 2024, Number of persons, 17854
55-59 years, Total, Total, Prahova, Year 2013, Number of persons, 56003
55-59 years, Total, Total, Prahova, Year 2014, Number of persons, 54727
55-59 years, Total, Total, Prahova, Year 2015, Number of persons, 53142
55-59 years, Total, Total, Prahova, Year 2016, Number of persons, 50308
55-59 years, Total, Total, Prahova, Year 2017, Number of persons, 47934
55-59 years, Total, Total, Prahova, Year 2018, Number of persons, 45548
55-59 years, Total, Total, Prahova, Year 2019, Number of persons, 42786
55-59 years, Total, Total, Prahova, Year 2020, Number of persons, 40522
55-59 years, Total, Total, Prahova, Year 2021, Number of persons, 38759
55-59 years, Total, Total, Prahova, Year 2022, Number of persons, 37756
55-59 years, Total, Total, Prahova, Year 2023, Number of persons, 45056
55-59 years, Total, Total, Prahova, Year 2024, Number of persons, 53652
55-59 years, Total, Total, Teleorman, Year 2013, Number of persons, 25930
55-59 years, Total, Total, Teleorman, Year 2014, Number of persons, 25358
55-59 years, Total, Total, Teleorman, Year 2015, Number of persons, 24340
55-59 years, Total, Total, Teleorman, Year 2016, Number of persons, 23136
55-59 years, Total, Total, Teleorman, Year 2017, Number of persons, 21923
55-59 years, Total, Total, Teleorman, Year 2018, Number of persons, 20775
55-59 years, Total, Total, Teleorman, Year 2019, Number of persons, 19489
55-59 years, Total, Total, Teleorman, Year 2020, Number of persons, 18458
55-59 years, Total, Total, Teleorman, Year 2021, Number of persons, 17893
55-59 years, Total, Total, Teleorman, Year 2022, Number of persons, 18549
55-59 years, Total, Total, Teleorman, Year 2023, Number of persons, 21370
55-59 years, Total, Total, Teleorman, Year 2024, Number of persons, 24518
55-59 years, Total, Total, Ilfov, Year 2013, Number of persons, 25961
55-59 years, Total, Total, Ilfov, Year 2014, Number of persons, 26231
55-59 years, Total, Total, Ilfov, Year 2015, Number of persons, 26176
55-59 years, Total, Total, Ilfov, Year 2016, Number of persons, 25696
55-59 years, Total, Total, Ilfov, Year 2017, Number of persons, 24901
55-59 years, Total, Total, Ilfov, Year 2018, Number of persons, 23629
55-59 years, Total, Total, Ilfov, Year 2019, Number of persons, 22782
55-59 years, Total, Total, Ilfov, Year 2020, Number of persons, 21944
55-59 years, Total, Total, Ilfov, Year 2021, Number of persons, 21826
55-59 years, Total, Total, Ilfov, Year 2022, Number of persons, 21833
55-59 years, Total, Total, Ilfov, Year 2023, Number of persons, 27965
55-59 years, Total, Total, Ilfov, Year 2024, Number of persons, 35168
55-59 years, Total, Total, Bucharest Municipality, Year 2013, Number of persons, 144340
55-59 years, Total, Total, Bucharest Municipality, Year 2014, Number of persons, 142264
55-59 years, Total, Total, Bucharest Municipality, Year 2015, Number of persons, 134656
55-59 years, Total, Total, Bucharest Municipality, Year 2016, Number of persons, 125091
55-59 years, Total, Total, Bucharest Municipality, Year 2017, Number of persons, 113923
55-59 years, Total, Total, Bucharest Municipality, Year 2018, Number of persons, 104911
55-59 years, Total, Total, Bucharest Municipality, Year 2019, Number of persons, 96681
55-59 years, Total, Total, Bucharest Municipality, Year 2020, Number of persons, 90417
55-59 years, Total, Total, Bucharest Municipality, Year 2021, Number of persons, 83174
55-59 years, Total, Total, Bucharest Municipality, Year 2022, Number of persons, 79062
55-59 years, Total, Total, Bucharest Municipality, Year 2023, Number of persons, 95439
55-59 years, Total, Total, Bucharest Municipality, Year 2024, Number of persons, 112376
55-59 years, Total, Total, Dolj, Year 2013, Number of persons, 47009
55-59 years, Total, Total, Dolj, Year 2014, Number of persons, 47144
55-59 years, Total, Total, Dolj, Year 2015, Number of persons, 46042
55-59 years, Total, Total, Dolj, Year 2016, Number of persons, 44392
55-59 years, Total, Total, Dolj, Year 2017, Number of persons, 42825
55-59 years, Total, Total, Dolj, Year 2018, Number of persons, 40404
55-59 years, Total, Total, Dolj, Year 2019, Number of persons, 38171
55-59 years, Total, Total, Dolj, Year 2020, Number of persons, 36244
55-59 years, Total, Total, Dolj, Year 2021, Number of persons, 34254
55-59 years, Total, Total, Dolj, Year 2022, Number of persons, 32741
55-59 years, Total, Total, Dolj, Year 2023, Number of persons, 37181
55-59 years, Total, Total, Dolj, Year 2024, Number of persons, 42746
55-59 years, Total, Total, Gorj, Year 2013, Number of persons, 23239
55-59 years, Total, Total, Gorj, Year 2014, Number of persons, 23569
55-59 years, Total, Total, Gorj, Year 2015, Number of persons, 23227
55-59 years, Total, Total, Gorj, Year 2016, Number of persons, 23025
55-59 years, Total, Total, Gorj, Year 2017, Number of persons, 22301
55-59 years, Total, Total, Gorj, Year 2018, Number of persons, 21456
55-59 years, Total, Total, Gorj, Year 2019, Number of persons, 20486
55-59 years, Total, Total, Gorj, Year 2020, Number of persons, 19827
55-59 years, Total, Total, Gorj, Year 2021, Number of persons, 18721
55-59 years, Total, Total, Gorj, Year 2022, Number of persons, 18648
55-59 years, Total, Total, Gorj, Year 2023, Number of persons, 21843
55-59 years, Total, Total, Gorj, Year 2024, Number of persons, 25323
55-59 years, Total, Total, Mehedinti, Year 2013, Number of persons, 19533
55-59 years, Total, Total, Mehedinti, Year 2014, Number of persons, 19421
55-59 years, Total, Total, Mehedinti, Year 2015, Number of persons, 18968
55-59 years, Total, Total, Mehedinti, Year 2016, Number of persons, 18457
55-59 years, Total, Total, Mehedinti, Year 2017, Number of persons, 17763
55-59 years, Total, Total, Mehedinti, Year 2018, Number of persons, 16774
55-59 years, Total, Total, Mehedinti, Year 2019, Number of persons, 15892
55-59 years, Total, Total, Mehedinti, Year 2020, Number of persons, 15081
55-59 years, Total, Total, Mehedinti, Year 2021, Number of persons, 14345
55-59 years, Total, Total, Mehedinti, Year 2022, Number of persons, 13937
55-59 years, Total, Total, Mehedinti, Year 2023, Number of persons, 15485
55-59 years, Total, Total, Mehedinti, Year 2024, Number of persons, 17748
55-59 years, Total, Total, Olt, Year 2013, Number of persons, 30552
55-59 years, Total, Total, Olt, Year 2014, Number of persons, 30631
55-59 years, Total, Total, Olt, Year 2015, Number of persons, 29801
55-59 years, Total, Total, Olt, Year 2016, Number of persons, 28827
55-59 years, Total, Total, Olt, Year 2017, Number of persons, 27843
55-59 years, Total, Total, Olt, Year 2018, Number of persons, 26247
55-59 years, Total, Total, Olt, Year 2019, Number of persons, 24760
55-59 years, Total, Total, Olt, Year 2020, Number of persons, 23555
55-59 years, Total, Total, Olt, Year 2021, Number of persons, 22693
55-59 years, Total, Total, Olt, Year 2022, Number of persons, 22733
55-59 years, Total, Total, Olt, Year 2023, Number of persons, 25862
55-59 years, Total, Total, Olt, Year 2024, Number of persons, 29720
55-59 years, Total, Total, Valcea, Year 2013, Number of persons, 26448
55-59 years, Total, Total, Valcea, Year 2014, Number of persons, 26035
55-59 years, Total, Total, Valcea, Year 2015, Number of persons, 25539
55-59 years, Total, Total, Valcea, Year 2016, Number of persons, 24877
55-59 years, Total, Total, Valcea, Year 2017, Number of persons, 24126
55-59 years, Total, Total, Valcea, Year 2018, Number of persons, 23295
55-59 years, Total, Total, Valcea, Year 2019, Number of persons, 22186
55-59 years, Total, Total, Valcea, Year 2020, Number of persons, 21308
55-59 years, Total, Total, Valcea, Year 2021, Number of persons, 20277
55-59 years, Total, Total, Valcea, Year 2022, Number of persons, 20262
55-59 years, Total, Total, Valcea, Year 2023, Number of persons, 23190
55-59 years, Total, Total, Valcea, Year 2024, Number of persons, 26556
55-59 years, Total, Total, Arad, Year 2013, Number of persons, 32627
55-59 years, Total, Total, Arad, Year 2014, Number of persons, 32481
55-59 years, Total, Total, Arad, Year 2015, Number of persons, 31162
55-59 years, Total, Total, Arad, Year 2016, Number of persons, 29089
55-59 years, Total, Total, Arad, Year 2017, Number of persons, 27038
55-59 years, Total, Total, Arad, Year 2018, Number of persons, 25180
55-59 years, Total, Total, Arad, Year 2019, Number of persons, 23500
55-59 years, Total, Total, Arad, Year 2020, Number of persons, 22489
55-59 years, Total, Total, Arad, Year 2021, Number of persons, 21830
55-59 years, Total, Total, Arad, Year 2022, Number of persons, 21899
55-59 years, Total, Total, Arad, Year 2023, Number of persons, 24619
55-59 years, Total, Total, Arad, Year 2024, Number of persons, 28260
55-59 years, Total, Total, Caras-Severin, Year 2013, Number of persons, 23474
55-59 years, Total, Total, Caras-Severin, Year 2014, Number of persons, 23282
55-59 years, Total, Total, Caras-Severin, Year 2015, Number of persons, 22522
55-59 years, Total, Total, Caras-Severin, Year 2016, Number of persons, 21364
55-59 years, Total, Total, Caras-Severin, Year 2017, Number of persons, 20381
55-59 years, Total, Total, Caras-Severin, Year 2018, Number of persons, 19108
55-59 years, Total, Total, Caras-Severin, Year 2019, Number of persons, 18113
55-59 years, Total, Total, Caras-Severin, Year 2020, Number of persons, 17187
55-59 years, Total, Total, Caras-Severin, Year 2021, Number of persons, 16352
55-59 years, Total, Total, Caras-Severin, Year 2022, Number of persons, 15291
55-59 years, Total, Total, Caras-Severin, Year 2023, Number of persons, 16651
55-59 years, Total, Total, Caras-Severin, Year 2024, Number of persons, 18377
55-59 years, Total, Total, Hunedoara, Year 2013, Number of persons, 32300
55-59 years, Total, Total, Hunedoara, Year 2014, Number of persons, 32044
55-59 years, Total, Total, Hunedoara, Year 2015, Number of persons, 30798
55-59 years, Total, Total, Hunedoara, Year 2016, Number of persons, 29533
55-59 years, Total, Total, Hunedoara, Year 2017, Number of persons, 28149
55-59 years, Total, Total, Hunedoara, Year 2018, Number of persons, 26899
55-59 years, Total, Total, Hunedoara, Year 2019, Number of persons, 25684
55-59 years, Total, Total, Hunedoara, Year 2020, Number of persons, 24619
55-59 years, Total, Total, Hunedoara, Year 2021, Number of persons, 23422
55-59 years, Total, Total, Hunedoara, Year 2022, Number of persons, 23401
55-59 years, Total, Total, Hunedoara, Year 2023, Number of persons, 26443
55-59 years, Total, Total, Hunedoara, Year 2024, Number of persons, 30041
55-59 years, Total, Total, Timis, Year 2013, Number of persons, 50399
55-59 years, Total, Total, Timis, Year 2014, Number of persons, 50904
55-59 years, Total, Total, Timis, Year 2015, Number of persons, 49031
55-59 years, Total, Total, Timis, Year 2016, Number of persons, 46309
55-59 years, Total, Total, Timis, Year 2017, Number of persons, 43463
55-59 years, Total, Total, Timis, Year 2018, Number of persons, 40471
55-59 years, Total, Total, Timis, Year 2019, Number of persons, 38212
55-59 years, Total, Total, Timis, Year 2020, Number of persons, 36468
55-59 years, Total, Total, Timis, Year 2021, Number of persons, 35061
55-59 years, Total, Total, Timis, Year 2022, Number of persons, 33151
55-59 years, Total, Total, Timis, Year 2023, Number of persons, 37353
55-59 years, Total, Total, Timis, Year 2024, Number of persons, 42606
60-64 years, Total, Total, Bihor, Year 2013, Number of persons, 35514
60-64 years, Total, Total, Bihor, Year 2014, Number of persons, 36019
60-64 years, Total, Total, Bihor, Year 2015, Number of persons, 37001
60-64 years, Total, Total, Bihor, Year 2016, Number of persons, 37803
60-64 years, Total, Total, Bihor, Year 2017, Number of persons, 38238
60-64 years, Total, Total, Bihor, Year 2018, Number of persons, 38445
60-64 years, Total, Total, Bihor, Year 2019, Number of persons, 38752
60-64 years, Total, Total, Bihor, Year 2020, Number of persons, 37860
60-64 years, Total, Total, Bihor, Year 2021, Number of persons, 35766
60-64 years, Total, Total, Bihor, Year 2022, Number of persons, 34576
60-64 years, Total, Total, Bihor, Year 2023, Number of persons, 32386
60-64 years, Total, Total, Bihor, Year 2024, Number of persons, 30346
60-64 years, Total, Total, Bistrita-Nasaud, Year 2013, Number of persons, 17356
60-64 years, Total, Total, Bistrita-Nasaud, Year 2014, Number of persons, 17575
60-64 years, Total, Total, Bistrita-Nasaud, Year 2015, Number of persons, 17731
60-64 years, Total, Total, Bistrita-Nasaud, Year 2016, Number of persons, 18098
60-64 years, Total, Total, Bistrita-Nasaud, Year 2017, Number of persons, 18379
60-64 years, Total, Total, Bistrita-Nasaud, Year 2018, Number of persons, 18393
60-64 years, Total, Total, Bistrita-Nasaud, Year 2019, Number of persons, 18450
60-64 years, Total, Total, Bistrita-Nasaud, Year 2020, Number of persons, 18181
60-64 years, Total, Total, Bistrita-Nasaud, Year 2021, Number of persons, 17598
60-64 years, Total, Total, Bistrita-Nasaud, Year 2022, Number of persons, 18241
60-64 years, Total, Total, Bistrita-Nasaud, Year 2023, Number of persons, 17594
60-64 years, Total, Total, Bistrita-Nasaud, Year 2024, Number of persons, 17364
60-64 years, Total, Total, Cluj, Year 2013, Number of persons, 42743
60-64 years, Total, Total, Cluj, Year 2014, Number of persons, 43583
60-64 years, Total, Total, Cluj, Year 2015, Number of persons, 44222
60-64 years, Total, Total, Cluj, Year 2016, Number of persons, 45232
60-64 years, Total, Total, Cluj, Year 2017, Number of persons, 45763
60-64 years, Total, Total, Cluj, Year 2018, Number of persons, 46010
60-64 years, Total, Total, Cluj, Year 2019, Number of persons, 45925
60-64 years, Total, Total, Cluj, Year 2020, Number of persons, 44610
60-64 years, Total, Total, Cluj, Year 2021, Number of persons, 42188
60-64 years, Total, Total, Cluj, Year 2022, Number of persons, 41368
60-64 years, Total, Total, Cluj, Year 2023, Number of persons, 38848
